date,Observed UA,CF-A (no UA shocks),CF-B (EA shocks),Euro Area
2010-02-01,11.547117026892328,14.60925143177094,5.532104697022256,0.6636363636363636
2010-03-01,10.997081933071362,14.761420230751266,11.729857659205827,1.3636363636363635
2010-04-01,9.676997707901048,15.043889597095703,15.367592771143583,1.481818181818182
2010-05-01,8.476552956869288,15.097783342994934,18.12185538201658,1.6
2010-06-01,6.867108550981027,15.05879184604505,18.799837765631395,1.4909090909090907
2010-07-01,6.7601344683473785,14.744562880757687,20.912333607444157,1.781818181818182
2010-08-01,8.257771625218012,14.526225617860407,20.94382384118104,1.7090909090909092
2010-09-01,10.51314186741006,14.11864935985912,21.918720003445454,1.9454545454545453
2010-10-01,10.075032286171549,13.730960794520211,22.56812966498858,2.118181818181818
2010-11-01,9.204013237418462,13.388321836752258,21.572920074654274,2.0090909090909093
2010-12-01,9.095783293674732,12.829326335952665,23.06621134775389,2.4
2011-01-01,8.238449043822671,12.387836040588365,24.271536218488876,2.618181818181818
2011-02-01,7.176246403549613,11.935120339283593,25.11375036744974,2.7636363636363632
2011-03-01,7.707347723686131,11.435216512565198,25.81496245698809,2.909090909090909
2011-04-01,9.435850796483503,10.92918262138841,25.83034552238451,2.9818181818181815
2011-05-01,10.977200807701571,10.452897033365442,24.191774313370953,2.854545454545455
2011-06-01,11.868583946719236,9.911692269669551,22.357078006558098,2.8090909090909095
2011-07-01,10.635563482376643,9.393552102244257,20.51723202517268,2.781818181818182
2011-08-01,8.886384613090037,8.96177629376903,18.116378521072917,2.627272727272727
2011-09-01,5.923489793686221,8.403372973065435,19.067195213073774,3.027272727272727
2011-10-01,5.396507257399241,8.097551554230783,19.101395224285547,3.0454545454545454
2011-11-01,5.186344730465242,7.794189076845692,18.795174536527586,3.0454545454545454
2011-12-01,4.560235535641044,7.589944293926452,16.21755009875367,2.709090909090909
2012-01-01,3.732035650210208,7.2631849764587555,14.455943857259992,2.645454545454545
2012-02-01,3.0123882274634584,6.99208581752113,13.294139523899634,2.645454545454545
2012-03-01,1.8948968364357333,6.810956483764715,12.184531013465431,2.6
2012-04-01,0.5872624249118719,6.694245917724717,10.91394142144999,2.4999999999999996
2012-05-01,-0.510416034090122,6.633842178471102,9.291830659634584,2.3363636363636364
2012-06-01,-1.2040685119400818,6.57857668865212,8.188320274082198,2.272727272727273
2012-07-01,-0.10299936668307641,6.555157609020057,7.890881823830302,2.309090909090909
2012-08-01,-0.002701173276142832,6.524012198203474,9.28025057747609,2.581818181818182
2012-09-01,-0.002701173276153934,6.631594639566454,9.716920336291444,2.5727272727272728
2012-10-01,-0.002701173276153934,6.7029898327767405,9.778984607689189,2.5363636363636366
2012-11-01,-0.20249597612673753,6.833551188992328,7.916512169632302,2.2181818181818183
2012-12-01,-0.20249597612672643,6.799494518233027,7.641195697795775,2.2818181818181817
2013-01-01,-0.20249597612670422,6.986430616417584,4.885099521472471,1.8636363636363633
2013-02-01,-0.5012908983538678,7.0583840191733564,3.110745619585768,1.736363636363636
2013-03-01,-0.7988942157067469,7.207412400336515,1.8031562248445927,1.6363636363636365
2013-04-01,-0.7988942157067469,7.53075845275712,-1.1368470055212532,1.2181818181818183
2013-05-01,-0.4008957973143934,7.68260420794256,-0.8027909169264464,1.418181818181818
2013-06-01,-0.10119939550089496,7.9925770384335735,0.47776908958818476,1.5818181818181818
2013-07-01,-0.0011003968992007174,8.414291057917062,0.994580395223403,1.518181818181818
2013-08-01,-0.40229959289959094,8.894455322850751,-0.5969093107221788,1.136363636363636
2013-09-01,-0.501797795104475,9.255491968341685,-1.9317843159947339,0.9272727272727274
2013-10-01,-0.10380498628489443,9.710011642646464,-4.494271455217434,0.5272727272727273
2013-11-01,0.19618358732984564,10.04994656277697,-4.850249445332803,0.5636363636363636
2013-12-01,0.4961721609445968,10.461743621804136,-3.5648466420106923,0.7363636363636362
2014-01-01,0.4961721609445746,11.021325488043223,-3.0760392012945976,0.6454545454545454
2014-02-01,1.200349543453716,11.547066726478988,-2.7667064309124587,0.5454545454545454
2014-03-01,3.426757233409705,12.087480313521885,-3.3491817884421646,0.3272727272727272
2014-04-01,6.8398402221122145,12.478683824393132,-1.9900673408405491,0.5090909090909091
2014-05-01,10.788965185367093,13.040518773224829,-2.4364850780367604,0.30909090909090914
2014-06-01,11.896854837220761,13.456649217185532,-1.7881183448232147,0.3909090909090908
2014-07-01,12.456899155725365,13.934308844870294,-1.689162567043354,0.30000000000000004
2014-08-01,14.155643855962929,14.319880175424089,-0.41618769344560025,0.40909090909090917
2014-09-01,17.466157527785864,14.78186860102385,0.026369306588939212,0.3272727272727272
2014-10-01,19.806120825152117,15.189658286226805,0.3478686705862116,0.2909090909090909
2014-11-01,21.838759601626776,15.570178834846173,0.59247432199425,0.2545454545454545
2014-12-01,24.869574517090133,16.088626099250686,-2.2428358690396997,-0.2818181818181818
2015-01-01,28.48356419872249,16.49588712467991,-5.412914067845756,-0.6727272727272728
2015-02-01,34.486275448563376,16.75535288393564,-4.932490399502408,-0.4090909090909091
2015-03-01,45.80312445891215,17.192783088156325,-3.2987543827899066,-0.1545454545454545
2015-04-01,60.90567462067749,17.7322612044665,-2.0352875151516505,-0.00909090909090911
2015-05-01,58.42543300802738,18.1733508609473,0.3274937962285964,0.3818181818181819
2015-06-01,57.48429182184107,18.646354085419688,1.9805100512146079,0.38181818181818183
2015-07-01,55.2882957207397,19.0244009861555,3.621892560798844,0.38181818181818183
2015-08-01,52.82340213787078,19.35136432574636,4.903397184506605,0.3181818181818182
2015-09-01,51.93230358313099,19.659313251116302,5.062504529241612,0.09999999999999996
2015-10-01,46.442562145068614,19.773256709188452,7.129887391490528,0.2999999999999999
2015-11-01,46.586274178577035,19.972908002280484,8.414498266254807,0.22727272727272732
2015-12-01,43.3129884444923,20.051615089446763,10.532999131915961,0.3909090909090909
2016-01-01,40.254903337044404,20.129185937838795,12.226642372913565,0.4272727272727273
2016-02-01,32.66275757236108,20.250732847845306,11.46175101650354,0.09090909090909091
2016-03-01,20.92904796758548,20.147913991296257,11.960487368023372,0.07272727272727271
2016-04-01,9.790846181097358,20.060274715176842,12.818270180000571,0.0090909090909091
2016-05-01,7.5348698897049315,19.92763622875978,14.694283300237853,0.08181818181818185
2016-06-01,6.8922312250254025,19.797814703796554,16.82393510855814,0.2545454545454545
2016-07-01,7.863978781616554,19.679880149329072,17.93486771298213,0.3
2016-08-01,8.407648029507797,19.473363435745764,18.662372337065207,0.3909090909090909
2016-09-01,7.877796377359658,19.22662646482618,18.79862878856263,0.43636363636363645
2016-10-01,12.359042224848782,18.881846061480054,19.70294077951064,0.6454545454545454
2016-11-01,12.138730377349049,18.642617797207915,18.779769622302663,0.5818181818181818
